"date","open","high","low","close"
2017-08-24,4261.48,4349.99,4261.32,4349.99
2017-08-25,4333.32,4485.39,4134.61,4300.25
2017-08-26,4285,4371.52,3933.21,4033.47
2017-08-27,4033.47,4156.56,3850,4155.87
2017-08-28,4155.87,4211.08,3953.4,4043.63
2017-08-29,4043.63,4088.12,3400,3798.08
2017-08-30,3798.08,4127.99,3750.08,4074.88
2017-08-31,4081.63,4265.8,4057,4153.32
2017-09-01,4153.8,4371.68,4136.33,4329
2017-09-02,4317.81,4453.91,4228.99,4319.7
2017-09-03,4319.7,4400,4212.41,4313.84
2017-09-04,4331.29,4386.79,4124.54,4261.9
2017-09-05,4261.9,4404.07,4226.93,4329.02
2017-09-06,4328.12,4647.51,4328.12,4550.02
2017-09-07,4550,4628.12,4416.01,4592.16
2017-09-08,4603.58,4767,4572.64,4707.5
2017-09-09,4715,4939.19,4473.35,4697.71
2017-09-10,4701.02,4714.76,4286.87,4620.87
2017-09-11,4610.52,4674.86,4052,4186.96
2017-09-12,4102.05,4437.68,3603,4190.4
2017-09-13,4190,4522.81,4050,4461.29
2017-09-14,4476.13,4662.87,4422.28,4510.25
2017-09-15,4475.01,4788.59,4458,4619.01
2017-09-16,4625.36,4699.77,4028.93,4321.52
2017-09-17,4336.19,4400.6,3801,3988.95
2017-09-18,3988.89,4334.43,3900.05,4178.73
2017-09-19,4186.88,4394.59,4115.39,4361
2017-09-20,4361.04,4373.67,3796.8,3933.76
2017-09-21,3914.01,3993,3760,3869.99
2017-09-22,3846.58,3889.98,3031,3148
2017-09-23,3148,3950,2817,3847.9
2017-09-24,3847.92,3850,3470.66,3559
2017-09-25,3559,4000,3499.02,3950.32
2017-09-26,3976.58,4123.2,3830.91,3936.28
2017-09-27,3880.06,4032.02,3820,3913.89
2017-09-28,3913.91,4046.08,3800,3885.23
2017-09-29,3885.23,3904.81,3567,3658.46
2017-09-30,3658.46,3717.44,3505.55,3689.38
2017-10-01,3689.38,3817.19,3622.76,3669
2017-10-02,3668,3815.74,3624.38,3780.6
2017-10-03,3789.5,3979.87,3747.94,3925
2017-10-04,3925,3976.99,3872.81,3968
2017-10-05,3952.1,4300,3931,4246
2017-10-06,4247,4272.45,3952.01,4090.1
2017-10-07,4090.1,4300,4060.02,4300
2017-10-08,4310,4380,4265.02,4335.82
2017-10-09,4335.82,4560,4240.04,4424.01
2017-10-10,4434.22,4561.63,4213.21,4271
2017-10-11,4280,4373,4180.8,4310.01
2017-10-12,4310.01,4328,4110,4154.1
2017-10-13,4154.1,4410,4112.23,4392.36
2017-10-14,4396,4417,4312.57,4334
2017-10-15,4335,4517,4312.56,4455.99
2017-10-16,4454.99,4660,4441.01,4584.06
2017-10-17,4587.02,4889.98,4564.32,4785.78
2017-10-18,4787.88,4960,4680.59,4829.99
2017-10-19,4820,5010.2,4751.01,5010.2
2017-10-20,5010.2,5846.17,5010.2,5628.02
2017-10-21,5631.01,5800,5520,5653.41
2017-10-22,5653.4,5922.3,5600.03,5786.11
2017-10-23,5786.11,5786.11,5400.01,5628.32
2017-10-24,5628.31,5788.91,5585.19,5650.02
2017-10-25,5657.96,5687.61,5277.22,5277.22
2017-10-26,5267.38,5631.3,5037.95,5577.98
2017-10-27,5577.99,5710,5555,5639.95
2017-10-28,5639.96,6167.99,5602.86,6091.92
2017-10-29,6091.92,6171,5770,5907.11
2017-10-30,5907.13,6080,5720.03,5865.05
2017-10-31,5865.03,5969.98,5482.22,5721.83
2017-11-01,5721.83,5740.97,5286.98,5541.51
2017-11-02,5532.02,5735.02,5375,5669.13
2017-11-03,5669.17,5980,5656.19,5874.49
2017-11-04,5874.43,5928.97,5649.24,5781.01
2017-11-05,5781.02,5815.84,5630.03,5799.99
2017-11-06,5790.11,6189.88,5730,6116.19
2017-11-07,6123.3,6248.68,6030,6117.94
2017-11-08,6117.94,6498.01,6100.04,6415
2017-11-09,6414.99,6977,6410.01,6934
2017-11-10,6934,7300,6685.1,7251.01
2017-11-11,7251.02,7346.34,6901,7174.99
2017-11-12,7174.99,7480.99,7070.12,7398.69
2017-11-13,7398.7,7590.25,7101,7275
2017-11-14,7274.98,7400.98,6906,7159.98
2017-11-15,7157.97,7394,6901,7303.01
2017-11-16,7303.02,7770.02,6651,7345.05
2017-11-17,7345.05,7374,7015,7149.18
2017-11-18,7149.19,7185,6255.01,6578.74
2017-11-19,6578.74,6708.68,5325.01,6060
2017-11-20,6089.77,6630,5600,6196.66
2017-11-21,6200.14,6697.47,6150.33,6545.33
2017-11-22,6545.33,6908,6311.07,6850.23
2017-11-23,6850.23,7390,6825,7369.99
2017-11-24,7369.99,7989,7313,7498
2017-11-25,7497.98,7950,7422,7674.97
2017-11-26,7674.97,7819.99,7602.02,7690.01
2017-11-27,7690.06,8123.15,7675.62,8014.01
2017-11-28,8014.02,8319.99,7801,8165.55
2017-11-29,8165.38,8400,8070,8289.88
2017-11-30,8289.89,8322.68,8108,8140
2017-12-01,8139.98,8280,7850,8280
2017-12-02,8262.02,8369,7950,8280.89
2017-12-03,8280,8978.9,8276,8864
2017-12-04,8884,9645.55,8786.45,9645.55
2017-12-05,9640.02,9869.84,9166,9817
2017-12-06,9816.98,10800,9658,10429.98
2017-12-07,10429.98,11300.03,8520,10070
2017-12-08,10051.56,10296,8850.8,9540
2017-12-09,9540,11100,9540,10931.04
2017-12-10,10926.38,11190,10620,11146.02
2017-12-11,11150.49,11825,10500,11544.76
2017-12-12,11538.39,11798,10802,11780
2017-12-13,11765.5,12531.06,11450,12426.93
2017-12-14,12432.77,14318.44,12220,14302.84
2017-12-15,14311.44,17204.99,13700,15880
2017-12-16,15881.47,16269.3,14015,15340.01
2017-12-17,15340.05,15370.13,12368,13419.98
2017-12-18,13419.98,16689,12900.13,16431
2017-12-19,16427,17470,16000.01,16799.97
2017-12-20,16797.16,16921.06,14666.56,16092.34
2017-12-21,16083.08,16420.35,14853.68,15775.23
2017-12-22,15756.7,17796.39,15651,17073.27
2017-12-23,17070,17991,16876.89,17677.54
2017-12-24,17677.54,19539,17532.05,19462.98
2017-12-25,19495,19798.68,17029.98,18576.99
2017-12-26,18576.99,19300,18021.98,18562.01
2017-12-27,18569.52,18695.2,14777.66,16354.17
2017-12-28,16360,17720.35,15830.13,17038.99
2017-12-29,17046.02,17049.99,12200,12726.45
2017-12-30,12726.45,14649.99,10961,13609.25
2017-12-31,13609.25,14950,12100,13252.12
2018-01-01,13228,13690.64,11640,13561.14
2018-01-02,13580,15350,13059,15063.02
2018-01-03,15073.16,16498.05,14660,16055
2018-01-04,16073.69,16200,13417.99,13984.39
2018-01-05,13984.38,14981,13150,14450
2018-01-06,14456.65,14797,12900,13620
2018-01-07,13620,13647.95,11750,12797.46
2018-01-08,12797.44,14050.11,12425.98,13570.35
2018-01-09,13569.98,13850,12750,13343
2018-01-10,13343.01,15473.49,13302.59,15170
2018-01-11,15170,15280,14150,14748
2018-01-12,14734.07,15200,13918.04,14920.14
2018-01-13,14916.95,17176.24,14880,16518
2018-01-14,16500.18,17143.13,16011.21,16746.99
2018-01-15,16747,16886.75,15476,15865
2018-01-16,15864.99,15869.97,12812,15062.28
2018-01-17,15062.28,15300,13750,13979
2018-01-18,13978.95,14968.68,11400,13530.42
2018-01-19,13530.42,14400,12500,13722.04
2018-01-20,13722.04,14320,13222,14255.09
2018-01-21,14250,14580,13359.07,13590
2018-01-22,13590,13736.4,12569.2,13355
2018-01-23,13346.34,14249.99,12222,12347.32
2018-01-24,12340,12488,9035,10765.01
2018-01-25,10777.93,11680.99,9037.94,10472.97
2018-01-26,10461.71,11878.82,10360,11069.72
2018-01-27,11060,12869,10950,12660.98
2018-01-28,12660.98,13099,11300,11701.14
2018-01-29,11721.43,12291.35,10965,11743.97
2018-01-30,11745,11926.35,9900.24,10250
2018-01-31,10250.85,11399,9905,10956
2018-02-01,10955.99,11794.05,10729,11460
2018-02-02,11465.91,11643,10950.21,11010
2018-02-03,11010.09,11400,10311.15,11243.68
2018-02-04,11243.68,12244,10900,11969
2018-02-05,11969,12079.9,11273,11318.01
2018-02-06,11320,11528,10850,11118.99
2018-02-07,11119,11210.57,9700,10280
2018-02-08,10280,10425.85,9860,10063.75
2018-02-09,10063.75,10078.1,8505,8673.11
2018-02-10,8673.11,9247.79,8010.02,8708.82
2018-02-11,8708.82,9473.01,8579,9200
2018-02-12,9200,9216,7910,7965.01
2018-02-13,7965.01,8049.99,6000.01,6043
2018-02-14,6040.98,7878,6019.24,7669.97
2018-02-15,7669.97,9065.78,7531.11,8915.15
2018-02-16,8915.15,8920.17,7800,7850.72
2018-02-17,7851.2,8570,7726.53,8473.76
2018-02-18,8470.01,8989,8457.03,8669.39
2018-02-19,8656.26,8888.85,8351,8870.17
2018-02-20,8870.17,9817.2,8757.5,9810.01
2018-02-21,9810.01,10323.37,9371.56,9688.5
2018-02-22,9688.5,10760,9666,10727.91
2018-02-23,10727.87,11274,10323,10589.76
2018-02-24,10593.62,10874.99,10080,10815.62
2018-02-25,10815.61,11650,10672.01,11535
2018-02-26,11530.92,11786.01,10620,11125
2018-02-27,11128,11185.19,10200,10600
2018-02-28,10606.99,10670,9570.19,9865.66
2018-03-01,9865.67,10496.97,9857.34,10119.16
2018-03-02,10119.13,10155,9352,9727.3
2018-03-03,9722.64,9787.6,9274.8,9454.49
2018-03-04,9454.49,10650,9350,10600
2018-03-05,10600,11098,10463.18,10748.86
2018-03-06,10741.01,10828,10240,10549.33
2018-03-07,10549.96,11200,10549.96,11080.42
2018-03-08,11080.42,11415.16,10770,11317
2018-03-09,11317,11544,11050.02,11140.3
2018-03-10,11142.01,11608,11080.97,11539.87
2018-03-11,11539.87,11710,11181.5,11270
2018-03-12,11275.11,11333,10400,10510
2018-03-13,10509.99,10747.88,9389.31,9936.98
2018-03-14,9936.98,10099,8329,8686.43
2018-03-15,8685,9490,8388,9327.43
2018-03-16,9327.43,9468.88,8450,8704
2018-03-17,8700,9740,8532.38,9599.92
2018-03-18,9599.92,9888.88,8780,9205.17
2018-03-19,9205.17,9349,8823,9079.92
2018-03-20,9067.09,9129.99,7650,7888.94
2018-03-21,7887.19,8430,7790.73,8233
2018-03-22,8233,8611.64,8060,8186.02
2018-03-23,8197.7,8348.62,7519.84,7659.99
2018-03-24,7659,8456,7322,8289.01
2018-03-25,8292.92,8705.23,8089,8385.12
2018-03-26,8385.12,9145.3,8280,8931.01
